epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
   33, 18919.3  ,        2.45692,        2.40289,        1.93221,              0.18109,           0.13202,          0.08193,             0.02866,      2.49829,      2.65115,      2.13324, 0.0007328  , 0.0007328  , 0.0007328
   34, 19490    ,        2.42944,        2.38425,        1.93676,              0.21215,           0.13945,          0.09438,             0.03119,      2.5061 ,      2.59544,      2.12275, 0.0006932  , 0.0006932  , 0.0006932
   35, 20110.9  ,        2.42419,        2.3876 ,        1.91871,              0.20941,           0.14894,          0.10277,             0.03319,      2.50405,      2.6074 ,      2.1209 , 0.0006536  , 0.0006536  , 0.0006536
   36, 20720.6  ,        2.44948,        2.3573 ,        1.90576,              0.21526,           0.14996,          0.10107,             0.0334 ,      2.49424,      2.5886 ,      2.09306, 0.000614   , 0.000614   , 0.000614
   37, 21345.9  ,        2.45504,        2.35863,        1.91061,              0.206  ,           0.13967,          0.09259,             0.03098,      2.50193,      2.60667,      2.12556, 0.0005744  , 0.0005744  , 0.0005744
   38, 22318.2  ,        2.4479 ,        2.34234,        1.90856,              0.22552,           0.15099,          0.10352,             0.03183,      2.49824,      2.58893,      2.07958, 0.0005348  , 0.0005348  , 0.0005348
   39, 22802.2  ,        2.39509,        2.36869,        1.91675,              0.2176 ,           0.13227,          0.09761,             0.03215,      2.49827,      2.6056 ,      2.11506, 0.0004952  , 0.0004952  , 0.0004952
   40, 23316.9  ,        2.39576,        2.33189,        1.89409,              0.22016,           0.15124,          0.10094,             0.03302,      2.50226,      2.60776,      2.08461, 0.0004556  , 0.0004556  , 0.0004556
   41, 23905.1  ,        2.44146,        2.51808,        1.97789,              0.25132,           0.12279,          0.09636,             0.03103,      2.51055,      2.64277,      2.05818, 0.000416   , 0.000416   , 0.000416
   42, 24519.7  ,        2.43081,        2.47904,        2.00045,              0.22605,           0.1333 ,          0.09471,             0.03105,      2.49047,      2.6219 ,      2.10695, 0.0003764  , 0.0003764  , 0.0003764
   43, 25110.6  ,        2.40496,        2.42897,        1.99537,              0.22358,           0.15637,          0.10423,             0.03363,      2.48824,      2.62556,      2.12124, 0.0003368  , 0.0003368  , 0.0003368
   44, 25613.7  ,        2.39599,        2.4312 ,        1.9865 ,              0.2217 ,           0.14278,          0.09638,             0.03101,      2.47883,      2.6224 ,      2.09275, 0.0002972  , 0.0002972  , 0.0002972
   45, 26112.4  ,        2.38012,        2.42299,        1.99196,              0.22743,           0.15278,          0.10261,             0.03283,      2.47836,      2.60793,      2.09095, 0.0002576  , 0.0002576  , 0.0002576
   46, 26668.8  ,        2.36967,        2.40264,        1.97411,              0.22794,           0.14894,          0.10192,             0.03287,      2.48684,      2.61925,      2.10482, 0.000218   , 0.000218   , 0.000218
   47, 27215.7  ,        2.36787,        2.38992,        1.98574,              0.23609,           0.14663,          0.09815,             0.03185,      2.4948 ,      2.64035,      2.11444, 0.0001784  , 0.0001784  , 0.0001784
   48, 27720.3  ,        2.36162,        2.39988,        1.99294,              0.21464,           0.1515 ,          0.09881,             0.03195,      2.49773,      2.64642,      2.11082, 0.0001388  , 0.0001388  , 0.0001388
   49, 28193.4  ,        2.35344,        2.38876,        1.98701,              0.22667,           0.14696,          0.09899,             0.03173,      2.50206,      2.63508,      2.1276 , 9.92e-05   , 9.92e-05   , 9.92e-05
   50, 28663.8  ,        2.34877,        2.37357,        1.96324,              0.22669,           0.14637,          0.09701,             0.03137,      2.50767,      2.64294,      2.12357, 5.96e-05   , 5.96e-05   , 5.96e-05
