epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.595,0.55856,2.58427,1.18045,0.17069,0.41247,0.24104,0.17471,0.73729,3.08507,1.33369,0.000364806,0.000364806,0.000364806
2,916.722,0.54568,1.93829,1.15147,0.5956,0.5083,0.48506,0.38217,0.67763,2.57766,1.26132,0.000720584,0.000720584,0.000720584
3,1394.74,0.56238,1.75737,1.15586,0.46531,0.40864,0.4687,0.38109,0.66433,2.45234,1.29418,0.0010617,0.0010617,0.0010617
4,1937.19,0.55318,1.62557,1.14622,0.35853,0.63126,0.43247,0.36195,0.67134,2.24996,1.20631,0.00104501,0.00104501,0.00104501
5,2419.37,0.53132,1.50804,1.14215,0.44936,0.63775,0.57548,0.50916,0.64358,1.93952,1.22801,0.00102301,0.00102301,0.00102301
6,2936.7,0.5338,1.47121,1.14145,0.56612,0.58232,0.50088,0.41601,0.66247,2.2274,1.23365,0.00100101,0.00100101,0.00100101
7,3473.1,0.50077,1.4057,1.11965,0.51108,0.44008,0.46154,0.35537,0.7499,2.19123,1.25352,0.000979013,0.000979013,0.000979013
8,4034.24,0.49872,1.32818,1.11543,0.605,0.43744,0.52892,0.42548,0.58962,1.78576,1.13458,0.000957015,0.000957015,0.000957015
9,4572.42,0.45302,1.26401,1.08247,0.64962,0.47952,0.51214,0.42201,0.68971,1.99903,1.22922,0.000935018,0.000935018,0.000935018
10,5110.26,0.46007,1.24821,1.09926,0.51618,0.59032,0.65885,0.5528,0.60702,1.72172,1.1538,0.00091302,0.00091302,0.00091302
11,5676.46,0.46393,1.1909,1.09334,0.56134,0.62659,0.61932,0.47893,0.72103,1.72718,1.21597,0.000891022,0.000891022,0.000891022
12,6342.91,0.45219,1.1434,1.08957,0.51836,0.52471,0.49848,0.3802,0.78897,2.00415,1.27945,0.000869024,0.000869024,0.000869024
13,6965.03,0.41793,1.10828,1.06402,0.63383,0.61792,0.65405,0.52583,0.64852,1.47922,1.0961,0.000847026,0.000847026,0.000847026
14,7408.03,0.4241,1.10722,1.06501,0.70685,0.47033,0.53796,0.42959,0.57846,1.71265,1.06958,0.000825029,0.000825029,0.000825029
15,7878.16,0.44575,1.08728,1.08883,0.61557,0.5532,0.61496,0.4975,0.61847,1.61922,1.09499,0.000803031,0.000803031,0.000803031
16,8280.25,0.42235,1.04015,1.06806,0.48829,0.62049,0.63858,0.52028,0.57947,1.61904,1.06765,0.000781033,0.000781033,0.000781033
17,8671.96,0.43348,1.02542,1.06526,0.52276,0.6669,0.6514,0.5207,0.69196,1.60925,1.12993,0.000759035,0.000759035,0.000759035
18,9048.03,0.41093,1.00439,1.04653,0.69744,0.55614,0.6859,0.58678,0.57989,1.40586,1.01654,0.000737037,0.000737037,0.000737037
19,9428.53,0.39756,0.96649,1.04479,0.55747,0.68367,0.6572,0.53928,0.61987,1.37107,1.06674,0.00071504,0.00071504,0.00071504
20,9856.88,0.39878,0.94096,1.04281,0.5001,0.76653,0.65837,0.56953,0.53725,1.39328,1.01068,0.000693042,0.000693042,0.000693042
21,10358,0.39473,0.92193,1.04973,0.66592,0.52756,0.64822,0.50391,0.64397,1.66299,1.11309,0.000671044,0.000671044,0.000671044
22,10830.5,0.38506,0.91036,1.03837,0.68224,0.6289,0.70637,0.59778,0.54588,1.39181,1.00968,0.000649046,0.000649046,0.000649046
23,11232.8,0.37536,0.88116,1.02537,0.74772,0.63133,0.72733,0.61488,0.56613,1.34383,1.02821,0.000627048,0.000627048,0.000627048
24,11628.7,0.37244,0.84973,1.03184,0.70202,0.49437,0.66861,0.51246,0.645,1.49974,1.11967,0.000605051,0.000605051,0.000605051
25,12057.6,0.37303,0.83693,1.02512,0.64972,0.66944,0.72635,0.63107,0.47233,1.17532,0.91316,0.000583053,0.000583053,0.000583053
26,12480.6,0.38061,0.82416,1.02211,0.77244,0.5283,0.72094,0.5976,0.54685,1.25516,1.03461,0.000561055,0.000561055,0.000561055
27,12894.6,0.36087,0.80556,1.02236,0.72821,0.59574,0.70494,0.58979,0.5643,1.39064,1.03382,0.000539057,0.000539057,0.000539057
28,13387.1,0.35589,0.80007,1.0113,0.61127,0.5789,0.67231,0.579,0.51391,1.28775,0.96757,0.000517059,0.000517059,0.000517059
29,13856.8,0.35652,0.77025,1.01807,0.5096,0.69316,0.66626,0.53767,0.57951,1.51666,1.09772,0.000495062,0.000495062,0.000495062
30,14351.1,0.35801,0.76948,1.01477,0.53363,0.74743,0.69956,0.5768,0.52749,1.22772,0.98883,0.000473064,0.000473064,0.000473064
31,14814.2,0.36476,0.74495,1.01799,0.82075,0.6534,0.75284,0.61027,0.56843,1.4804,1.07646,0.000451066,0.000451066,0.000451066
32,15274.5,0.34769,0.74024,1.00947,0.68738,0.70768,0.71162,0.60187,0.56366,1.22144,1.11923,0.000429068,0.000429068,0.000429068
33,15748.7,0.35198,0.70875,1.01422,0.69805,0.62889,0.71298,0.58326,0.62538,1.4133,1.11604,0.00040707,0.00040707,0.00040707
34,16235.1,0.33757,0.70835,1.00551,0.72151,0.62828,0.73736,0.59211,0.62206,1.23583,1.07411,0.000385073,0.000385073,0.000385073
35,16708.2,0.33336,0.6904,1.00608,0.61046,0.71746,0.68639,0.56849,0.50821,1.40193,0.96877,0.000363075,0.000363075,0.000363075
36,17156.6,0.32454,0.67275,0.98073,0.71928,0.65323,0.73032,0.5947,0.59462,1.26119,1.11879,0.000341077,0.000341077,0.000341077
37,17614.7,0.32481,0.64452,0.99042,0.80229,0.65761,0.74571,0.63096,0.50874,1.34378,0.95988,0.000319079,0.000319079,0.000319079
38,18091.6,0.3332,0.64979,1,0.67223,0.70573,0.75358,0.64546,0.5103,1.20002,0.97108,0.000297081,0.000297081,0.000297081
39,18564.6,0.32012,0.63379,0.99816,0.73545,0.65278,0.74753,0.60399,0.55856,1.20816,1.04947,0.000275084,0.000275084,0.000275084
40,18982.8,0.31564,0.61903,0.98378,0.71465,0.6676,0.76817,0.62003,0.53182,1.28539,1.02474,0.000253086,0.000253086,0.000253086
41,19426.5,0.21352,0.55196,1.03841,0.64439,0.75681,0.74155,0.62444,0.54933,1.2731,1.01183,0.000231088,0.000231088,0.000231088
42,19895.2,0.19283,0.46488,1.01401,0.64191,0.72062,0.72538,0.59608,0.57715,1.22707,1.01985,0.00020909,0.00020909,0.00020909
43,20348.3,0.17672,0.42854,1.00171,0.69191,0.71755,0.76779,0.62097,0.53286,1.26965,0.98104,0.000187092,0.000187092,0.000187092
44,20798.2,0.17805,0.37488,0.99949,0.75835,0.64555,0.73239,0.63084,0.52378,1.37857,0.98149,0.000165095,0.000165095,0.000165095
45,21252.3,0.16502,0.35304,0.97805,0.66154,0.6857,0.73045,0.64656,0.51051,1.24113,0.96811,0.000143097,0.000143097,0.000143097
46,21677.5,0.16036,0.32311,0.98494,0.7283,0.71978,0.73397,0.63219,0.51699,1.29819,0.97802,0.000121099,0.000121099,0.000121099
47,22097.1,0.1562,0.35211,0.97696,0.70983,0.69872,0.73724,0.64519,0.50021,1.30586,0.95805,9.91012e-05,9.91012e-05,9.91012e-05
48,22519.6,0.1645,0.31325,0.98151,0.75719,0.62045,0.71281,0.63362,0.51618,1.30524,0.98205,7.71034e-05,7.71034e-05,7.71034e-05
49,22935,0.15215,0.29483,0.96845,0.59806,0.78566,0.74221,0.63556,0.50083,1.34478,0.98056,5.51056e-05,5.51056e-05,5.51056e-05
50,23351.2,0.15045,0.28657,0.97342,0.58654,0.80813,0.73603,0.64334,0.48979,1.30501,0.95431,3.31078e-05,3.31078e-05,3.31078e-05
